login_hour,failed_attempts,device_type,location_code,login_frequency,latitude,longitude,travel_speed_mph
3,27,1,77,134,33.34787746360687,36.74644494712973,40.22185166187764
9,0,0,91,17,19.10879692284159,73.08381726992836,0.0
19,2,2,36,33,40.779268092611346,-74.39034315703502,0.0
8,1,2,46,36,-22.396604152501965,-46.91959333192316,0.0
14,1,1,98,12,19.066055135254604,72.94376836066799,0.0
0,14,1,35,43,35.42039074978468,139.87627011846615,384.75376755981245
8,2,2,83,26,1.7751067723356344,104.13459706819698,0.0
8,0,0,54,32,-34.249531082709474,151.42863110317555,0.0
18,1,2,82,37,52.16319172212962,13.133064067110341,38.559215934915734
19,0,2,28,12,40.584859321164735,-74.4650043811109,0.0
9,0,0,28,3,2.0155047100209957,103.65684434364991,0.0
15,2,2,65,23,1.465730704567284,102.56108344880124,0.0
20,2,1,28,16,-23.598913018696706,-46.57274100083139,0.0
16,1,1,34,12,19.411873645538645,73.7875196760306,0.0
12,1,2,44,31,35.835102584600946,139.4135709531838,0.0
11,0,0,45,24,34.87349550440772,139.1260379433974,262.48946460054606
18,2,0,61,18,48.80897746088733,2.0760391632113278,0.0
8,2,1,63,28,52.096010061172336,13.680493328785657,0.0
14,2,2,86,9,-33.45530280544134,150.98301916539933,0.0
10,2,2,63,32,43.35601070479278,-78.78538033758808,0.0
21,2,1,99,23,40.727098388359174,-73.9309326829969,0.0
18,2,0,21,21,-23.81483100166858,-47.21373522986075,320.81160143204283
11,2,0,38,29,-33.844273295362825,150.73044587555515,0.0
14,1,2,23,9,40.78592400390943,-73.6764843255638,0.0
21,1,2,51,38,35.535891991917595,139.7160292003906,0.0
16,2,0,60,19,35.06373247490553,138.88111500051593,0.0
16,1,1,3,18,40.59744979340226,-73.68101921692306,0.0
17,0,0,96,17,51.23365482150059,-1.3453318448864118,284.95095419706155
8,0,1,6,38,20.260279563989595,72.3144265938581,0.0
16,1,0,16,8,40.95949165020576,-74.6194377672569,0.0
18,1,1,85,33,52.07589462227638,13.069581981633252,0.0
18,1,1,95,2,48.20614912174294,2.9973883756291126,0.0
18,0,2,46,22,49.61718606888237,1.4384628229735048,0.0
17,1,0,31,28,48.62749174034971,2.625431882073831,0.0
13,1,2,88,18,19.361596960283983,73.4997269479311,0.0
9,1,0,60,12,50.99618231022711,-0.45919240074586765,0.0
8,0,1,77,17,48.914175899512294,2.651324687314975,0.0
14,0,1,82,6,-23.401846510575087,-46.107324797085866,0.0
18,0,2,41,25,44.0220422942619,-78.63847808952619,0.0
21,0,2,80,21,52.33930711640908,12.682741331498862,0.0
16,2,2,12,5,48.822904382140905,2.3893396220414242,0.0
8,1,0,65,25,-24.41027050335611,-46.71732753284418,0.0
23,30,0,76,48,1.6478861876505113,103.84034299491444,0.0
13,1,1,65,15,18.845852277903077,73.42662118044414,0.0
19,2,2,55,15,43.10332721807154,-79.34374478159954,0.0
21,2,1,28,18,-33.68282004962075,151.29754365518133,0.0
14,2,1,48,11,2.1949241507095825,103.93562400774199,0.0
12,1,0,76,5,17.988838217956676,72.643408534045,0.0
8,2,0,77,8,52.99912691307629,13.15169474665019,0.0
9,1,0,87,29,-23.62983722185532,-46.66902282854939,0.0
12,1,1,79,13,-23.740378669990122,-46.33008599315496,0.0
3,4,1,89,167,-23.903004596170106,-46.76118076976719,0.0
13,2,2,92,26,49.45582247641585,3.271003366532355,0.0
13,0,2,5,36,-33.370871235640756,151.83940370303944,0.0
4,11,0,53,66,40.5523456332131,-74.10692674845785,128.4011982522826
14,0,0,72,38,0.659414067165134,103.41570320747479,0.0
18,1,2,39,35,-33.34397291106983,150.51520764491292,0.0
3,31,1,77,118,59.73000675443193,29.829258495114754,424.27095751759634
18,1,1,79,15,-23.266656624532708,-47.14402031132929,0.0
8,0,2,26,2,51.370026252412785,-0.32656491047772995,0.0
17,2,0,27,6,40.871013036524545,-74.2111407179855,0.0
10,1,1,16,33,47.904343964067415,2.862162289798487,0.0
15,2,0,52,19,36.36533739316786,139.25916548983682,0.0
11,2,1,2,6,36.032011325235416,140.31539154315308,0.0
12,2,0,81,37,43.63886136005403,-78.99183375188068,0.0
16,0,0,54,32,42.86816406348589,-79.85351475480508,0.0
21,1,1,16,8,41.22064347253174,-73.61827726461846,0.0
20,0,0,58,19,-33.07679819721815,150.95647182003128,0.0
21,2,1,77,31,49.067606580353484,2.205301674929603,0.0
